cpu_fclk_min, cpu_fclk_max, cpu_fclk_cur, cpu_temp, cpu_load, ip_wired, ip_wifi, memory_usage, swap_usage
600.0, 1400.0, 1400.0, 31.096, 21.8, 2003:ee:a71e:2200:beb9:55b3:a35b:8014, b8:27:eb:cb:e6:f6, 14.2, 0.0
600.0, 1400.0, 1400.0, 31.096, 43.5, 2003:ee:a71e:2200:beb9:55b3:a35b:8014, b8:27:eb:cb:e6:f6, 14.3, 0.0
600.0, 1400.0, 700.0, 31.634, 54.1, 192.168.0.34, b8:27:eb:cb:e6:f6, 29.7, 0.0
600.0, 1400.0, 1400.0, 32.172, 66.4, 192.168.0.34, b8:27:eb:cb:e6:f6, 46.7, 1.0
600.0, 1400.0, 600.0, 31.096, 6.1, 192.168.0.34, b8:27:eb:cb:e6:f6, 42.9, 1.0
600.0, 1400.0, 600.0, 31.096, 1.1, 192.168.0.34, b8:27:eb:cb:e6:f6, 43.0, 1.0
600.0, 1400.0, 600.0, 31.634, 5.7, 192.168.0.34, b8:27:eb:cb:e6:f6, 42.8, 1.0
600.0, 1400.0, 800.0, 32.172, 2.3, 192.168.0.34, b8:27:eb:cb:e6:f6, 42.8, 1.0
600.0, 1400.0, 700.0, 32.172, 5.5, 192.168.0.34, b8:27:eb:cb:e6:f6, 43.0, 1.0
600.0, 1400.0, 600.0, 32.172, 13.9, 192.168.0.34, b8:27:eb:cb:e6:f6, 43.5, 1.0
600.0, 1400.0, 1400.0, 35.4, 69.3, 192.168.0.34, b8:27:eb:cb:e6:f6, 52.2, 2.3
600.0, 1400.0, 1400.0, 37.552, 84.7, 192.168.0.34, b8:27:eb:cb:e6:f6, 50.5, 2.3
600.0, 1400.0, 1400.0, 37.552, 90.5, 192.168.0.34, b8:27:eb:cb:e6:f6, 51.1, 2.5
600.0, 1400.0, 1400.0, 36.476, 84.7, 192.168.0.34, b8:27:eb:cb:e6:f6, 51.0, 2.5
600.0, 1400.0, 1400.0, 36.476, 80.8, 192.168.0.34, b8:27:eb:cb:e6:f6, 51.3, 2.5
600.0, 1400.0, 1400.0, 36.476, 84.6, 192.168.0.34, b8:27:eb:cb:e6:f6, 51.3, 2.5
600.0, 1400.0, 1400.0, 36.476, 86.9, 192.168.0.34, b8:27:eb:cb:e6:f6, 51.5, 2.5
600.0, 1400.0, 600.0, 34.862, 30.0, 192.168.0.34, b8:27:eb:cb:e6:f6, 49.8, 2.5
