cpu_fclk_min, cpu_fclk_max, cpu_fclk_cur, cpu_temp, cpu_load, ip_wired, ip_wifi, memory_usage, swap_usage
600.0, 1400.0, 800.0, 28.944, 18.7, 2003:ee:a71e:2200:beb9:55b3:a35b:8014, b8:27:eb:cb:e6:f6, 13.6, 0.0
600.0, 1400.0, 1400.0, 29.482, 42.9, 2003:ee:a71e:2200:beb9:55b3:a35b:8014, b8:27:eb:cb:e6:f6, 13.7, 0.0
600.0, 1400.0, 1400.0, 32.172, 69.1, 192.168.0.34, 192.168.0.118, 29.7, 0.0
600.0, 1400.0, 1400.0, 32.172, 67.5, 192.168.0.34, 192.168.0.118, 46.2, 0.0
600.0, 1400.0, 1400.0, 31.096, 31.1, 192.168.0.34, 192.168.0.118, 46.3, 1.0
600.0, 1400.0, 600.0, 31.096, 10.4, 192.168.0.34, 192.168.0.118, 42.4, 1.0
600.0, 1400.0, 1400.0, 31.634, 16.2, 192.168.0.34, 192.168.0.118, 42.8, 1.0
600.0, 1400.0, 1400.0, 33.248, 28.0, 192.168.0.34, 192.168.0.118, 49.0, 2.3
600.0, 1400.0, 1400.0, 33.786, 45.7, 192.168.0.34, 192.168.0.118, 48.9, 2.3
600.0, 1400.0, 1400.0, 34.324, 70.9, 192.168.0.34, 192.168.0.118, 46.2, 2.3
600.0, 1400.0, 1400.0, 34.324, 66.4, 192.168.0.34, 192.168.0.118, 46.6, 2.3
600.0, 1400.0, 1400.0, 34.324, 69.7, 192.168.0.34, 192.168.0.118, 46.8, 2.3
600.0, 1400.0, 1400.0, 34.862, 62.7, 192.168.0.34, 192.168.0.118, 46.8, 2.3
600.0, 1400.0, 1400.0, 35.4, 66.8, 192.168.0.34, 192.168.0.118, 47.1, 2.3
600.0, 1400.0, 1400.0, 35.4, 67.2, 192.168.0.34, 192.168.0.118, 47.5, 2.3
600.0, 1400.0, 1400.0, 35.938, 67.1, 192.168.0.34, 192.168.0.118, 47.3, 2.3
600.0, 1400.0, 1400.0, 35.4, 64.5, 192.168.0.34, 192.168.0.118, 47.4, 2.3
600.0, 1400.0, 1400.0, 36.476, 71.3, 192.168.0.34, 192.168.0.118, 49.5, 2.3
600.0, 1400.0, 1400.0, 35.4, 67.1, 192.168.0.34, 192.168.0.118, 47.4, 2.3
600.0, 1400.0, 1400.0, 35.4, 63.6, 192.168.0.34, 192.168.0.118, 47.6, 2.3
600.0, 1400.0, 1400.0, 35.4, 64.9, 192.168.0.34, 192.168.0.118, 47.9, 2.3
600.0, 1400.0, 1400.0, 36.476, 63.6, 192.168.0.34, 192.168.0.118, 47.7, 2.3
600.0, 1400.0, 1400.0, 36.476, 65.1, 192.168.0.34, 192.168.0.118, 47.9, 2.3
600.0, 1400.0, 1400.0, 36.476, 67.5, 192.168.0.34, 192.168.0.118, 48.8, 2.3
600.0, 1400.0, 1400.0, 35.938, 64.5, 192.168.0.34, 192.168.0.118, 47.7, 2.3
600.0, 1400.0, 1400.0, 36.476, 62.4, 192.168.0.34, 192.168.0.118, 47.7, 2.3
600.0, 1400.0, 1400.0, 36.476, 65.7, 192.168.0.34, 192.168.0.118, 47.9, 2.3
600.0, 1400.0, 1400.0, 36.476, 65.2, 192.168.0.34, 192.168.0.118, 47.7, 2.3
600.0, 1400.0, 1400.0, 36.476, 66.6, 192.168.0.34, 192.168.0.118, 47.7, 2.3
600.0, 1400.0, 1400.0, 37.014, 64.9, 192.168.0.34, 192.168.0.118, 47.7, 2.3
600.0, 1400.0, 1400.0, 36.476, 63.0, 192.168.0.34, 192.168.0.118, 47.9, 2.3
600.0, 1400.0, 1400.0, 36.476, 62.2, 192.168.0.34, 192.168.0.118, 47.8, 2.3
600.0, 1400.0, 1400.0, 36.476, 64.1, 192.168.0.34, 192.168.0.118, 47.6, 2.3
600.0, 1400.0, 1400.0, 37.552, 63.0, 192.168.0.34, 192.168.0.118, 47.8, 2.3
600.0, 1400.0, 1400.0, 37.552, 62.8, 192.168.0.34, 192.168.0.118, 47.7, 2.3
600.0, 1400.0, 1400.0, 37.014, 62.9, 192.168.0.34, 192.168.0.118, 47.6, 2.3
600.0, 1400.0, 1400.0, 36.476, 64.7, 192.168.0.34, 192.168.0.118, 47.8, 2.3
600.0, 1400.0, 1400.0, 37.014, 63.2, 192.168.0.34, 192.168.0.118, 47.6, 2.3
600.0, 1400.0, 1400.0, 37.552, 64.1, 192.168.0.34, 192.168.0.118, 48.0, 2.3
600.0, 1400.0, 1400.0, 37.552, 63.4, 192.168.0.34, 192.168.0.118, 47.9, 2.3
600.0, 1400.0, 1400.0, 37.014, 61.9, 192.168.0.34, 192.168.0.118, 47.7, 2.3
600.0, 1400.0, 1400.0, 36.476, 63.5, 192.168.0.34, 192.168.0.118, 47.9, 2.3
600.0, 1400.0, 1400.0, 37.552, 61.9, 192.168.0.34, 192.168.0.118, 47.8, 2.3
600.0, 1400.0, 1400.0, 37.552, 65.1, 192.168.0.34, 192.168.0.118, 47.7, 2.3
600.0, 1400.0, 1400.0, 37.014, 64.6, 192.168.0.34, 192.168.0.118, 47.8, 2.3
600.0, 1400.0, 1400.0, 37.552, 63.3, 192.168.0.34, 192.168.0.118, 47.7, 2.3
600.0, 1400.0, 1400.0, 37.014, 63.3, 192.168.0.34, 192.168.0.118, 47.7, 2.3
600.0, 1400.0, 1400.0, 36.476, 63.0, 192.168.0.34, 192.168.0.118, 47.9, 2.3
600.0, 1400.0, 1400.0, 37.552, 62.3, 192.168.0.34, 192.168.0.118, 47.7, 2.3
600.0, 1400.0, 1400.0, 37.014, 61.7, 192.168.0.34, 192.168.0.118, 47.6, 2.3
600.0, 1400.0, 1400.0, 38.09, 65.3, 192.168.0.34, 192.168.0.118, 47.8, 2.3
600.0, 1400.0, 1400.0, 37.014, 63.1, 192.168.0.34, 192.168.0.118, 47.6, 2.3
600.0, 1400.0, 1400.0, 37.552, 62.5, 192.168.0.34, 192.168.0.118, 47.7, 2.3
600.0, 1400.0, 1400.0, 37.552, 62.4, 192.168.0.34, 192.168.0.118, 47.6, 2.3
600.0, 1400.0, 1400.0, 37.552, 64.0, 192.168.0.34, 192.168.0.118, 47.9, 2.3
600.0, 1400.0, 1400.0, 37.552, 64.1, 192.168.0.34, 192.168.0.118, 48.0, 2.3
600.0, 1400.0, 1400.0, 37.552, 64.1, 192.168.0.34, 192.168.0.118, 47.6, 2.3
600.0, 1400.0, 1400.0, 37.552, 62.2, 192.168.0.34, 192.168.0.118, 47.8, 2.3
600.0, 1400.0, 1400.0, 37.552, 61.9, 192.168.0.34, 192.168.0.118, 47.7, 2.3
600.0, 1400.0, 1400.0, 37.014, 64.7, 192.168.0.34, 192.168.0.118, 47.7, 2.3
600.0, 1400.0, 1400.0, 37.552, 62.1, 192.168.0.34, 192.168.0.118, 47.8, 2.3
600.0, 1400.0, 1400.0, 37.552, 63.4, 192.168.0.34, 192.168.0.118, 47.8, 2.3
600.0, 1400.0, 1400.0, 37.552, 61.1, 192.168.0.34, 192.168.0.118, 47.7, 2.3
600.0, 1400.0, 1400.0, 37.552, 62.4, 192.168.0.34, 192.168.0.118, 47.7, 2.3
600.0, 1400.0, 1400.0, 37.552, 62.9, 192.168.0.34, 192.168.0.118, 47.5, 2.3
600.0, 1400.0, 1400.0, 37.552, 62.7, 192.168.0.34, 192.168.0.118, 47.2, 2.3
600.0, 1400.0, 1400.0, 37.552, 61.3, 192.168.0.34, 192.168.0.118, 47.3, 2.3
600.0, 1400.0, 1400.0, 37.552, 61.4, 192.168.0.34, 192.168.0.118, 47.2, 2.3
600.0, 1400.0, 1400.0, 37.552, 61.9, 192.168.0.34, 192.168.0.118, 47.2, 2.3
600.0, 1400.0, 1400.0, 38.09, 64.6, 192.168.0.34, 192.168.0.118, 47.2, 2.3
600.0, 1400.0, 900.0, 37.014, 57.2, 192.168.0.34, 192.168.0.118, 47.8, 2.3
600.0, 1400.0, 600.0, 35.4, 2.8, 192.168.0.34, 192.168.0.118, 47.4, 2.3
600.0, 1400.0, 600.0, 35.4, 5.7, 192.168.0.34, 192.168.0.118, 47.4, 2.3
600.0, 1400.0, 600.0, 35.4, 1.3, 192.168.0.34, 192.168.0.118, 46.9, 2.3
600.0, 1400.0, 600.0, 36.476, 26.5, 192.168.0.34, 192.168.0.118, 47.2, 2.3
600.0, 1400.0, 700.0, 37.014, 52.5, 192.168.0.34, 192.168.0.118, 52.8, 2.3
600.0, 1400.0, 1400.0, 37.014, 52.7, 192.168.0.34, 192.168.0.118, 47.7, 2.3
600.0, 1400.0, 1400.0, 37.552, 63.1, 192.168.0.34, 192.168.0.118, 47.6, 2.3
600.0, 1400.0, 1400.0, 37.552, 62.3, 192.168.0.34, 192.168.0.118, 48.0, 2.3
600.0, 1400.0, 1400.0, 37.552, 62.4, 192.168.0.34, 192.168.0.118, 48.0, 2.3
600.0, 1400.0, 1400.0, 37.552, 62.0, 192.168.0.34, 192.168.0.118, 48.0, 2.3
600.0, 1400.0, 1400.0, 37.552, 65.8, 192.168.0.34, 192.168.0.118, 48.2, 2.3
600.0, 1400.0, 1400.0, 38.09, 65.1, 192.168.0.34, 192.168.0.118, 48.4, 2.3
600.0, 1400.0, 1400.0, 37.552, 63.1, 192.168.0.34, 192.168.0.118, 48.5, 2.3
600.0, 1400.0, 1400.0, 37.552, 62.5, 192.168.0.34, 192.168.0.118, 48.5, 2.3
600.0, 1400.0, 1400.0, 38.09, 64.9, 192.168.0.34, 192.168.0.118, 48.6, 2.3
600.0, 1400.0, 1400.0, 38.09, 63.0, 192.168.0.34, 192.168.0.118, 48.5, 2.3
600.0, 1400.0, 1400.0, 38.09, 65.3, 192.168.0.34, 192.168.0.118, 48.6, 2.3
600.0, 1400.0, 1400.0, 36.476, 19.1, 192.168.0.34, 192.168.0.118, 49.7, 2.3
600.0, 1400.0, 600.0, 35.4, 8.6, 192.168.0.34, 192.168.0.118, 48.2, 2.3
600.0, 1400.0, 600.0, 35.4, 7.4, 192.168.0.34, 192.168.0.118, 48.1, 2.3
