cpu_fclk_min, cpu_fclk_max, cpu_fclk_cur, cpu_temp, cpu_load, ip_wired, ip_wifi, memory_usage, swap_usage
600.0, 1400.0, 800.0, 37.552, 13.0, 2003:ee:a71e:2200:beb9:55b3:a35b:8014, b8:27:eb:cb:e6:f6, 12.8, 0.0
600.0, 1400.0, 900.0, 37.552, 13.0, 2003:ee:a71e:2200:beb9:55b3:a35b:8014, b8:27:eb:cb:e6:f6, 12.9, 0.0
600.0, 1400.0, 1400.0, 40.78, 39.7, 192.168.0.34, 192.168.0.118, 31.4, 0.0
600.0, 1400.0, 1400.0, 38.09, 34.4, 192.168.0.34, 192.168.0.118, 39.0, 0.3
cpu_fclk_min, cpu_fclk_max, cpu_fclk_cur, cpu_temp, cpu_load, ip_wired, ip_wifi, memory_usage, swap_usage
600.0, 1400.0, 800.0, 32.172, 10.0, b8:27:eb:9e:b3:a3, b8:27:eb:cb:e6:f6, 13.5, 0.0
600.0, 1400.0, 1400.0, 33.248, 13.3, b8:27:eb:9e:b3:a3, b8:27:eb:cb:e6:f6, 13.5, 0.0
600.0, 1400.0, 1400.0, 36.476, 43.5, b8:27:eb:9e:b3:a3, 192.168.0.118, 34.4, 0.0
600.0, 1400.0, 900.0, 33.248, 23.8, b8:27:eb:9e:b3:a3, 192.168.0.118, 41.3, 0.0
600.0, 1400.0, 600.0, 32.71, 6.8, b8:27:eb:9e:b3:a3, 192.168.0.118, 41.9, 0.0
600.0, 1400.0, 1400.0, 35.4, 9.9, b8:27:eb:9e:b3:a3, 192.168.0.118, 43.6, 0.0
600.0, 1400.0, 600.0, 33.786, 10.0, b8:27:eb:9e:b3:a3, 192.168.0.118, 42.2, 0.8
600.0, 1400.0, 600.0, 33.248, 3.0, b8:27:eb:9e:b3:a3, 192.168.0.118, 42.3, 0.8
600.0, 1400.0, 1400.0, 34.862, 11.1, b8:27:eb:9e:b3:a3, 192.168.0.118, 43.1, 0.8
600.0, 1400.0, 1400.0, 40.78, 66.5, b8:27:eb:9e:b3:a3, 192.168.0.118, 48.6, 2.8
600.0, 1400.0, 1400.0, 42.394, 78.5, b8:27:eb:9e:b3:a3, 192.168.0.118, 48.9, 2.8
600.0, 1400.0, 1400.0, 41.856, 66.1, b8:27:eb:9e:b3:a3, 192.168.0.118, 48.1, 2.8
600.0, 1400.0, 1400.0, 42.394, 74.5, b8:27:eb:9e:b3:a3, 192.168.0.118, 48.1, 2.8
600.0, 1400.0, 700.0, 40.78, 72.0, b8:27:eb:9e:b3:a3, 192.168.0.118, 50.1, 2.8
