cpu_fclk_min, cpu_fclk_max, cpu_fclk_cur, cpu_temp, cpu_load, ip_wired, ip_wifi, memory_usage, swap_usage
600.0, 1400.0, 1400.0, 30.02, 22.2, 2003:ee:a71e:2200:beb9:55b3:a35b:8014, b8:27:eb:cb:e6:f6, 13.5, 0.0
600.0, 1400.0, 1400.0, 28.944, 14.7, 2003:ee:a71e:2200:beb9:55b3:a35b:8014, b8:27:eb:cb:e6:f6, 13.6, 0.0
600.0, 1400.0, 1400.0, 31.634, 66.5, 192.168.0.34, 192.168.0.118, 29.1, 0.0
600.0, 1400.0, 1400.0, 33.248, 73.4, 192.168.0.34, 192.168.0.118, 48.2, 0.5
600.0, 1400.0, 600.0, 31.096, 16.5, 192.168.0.34, 192.168.0.118, 42.0, 0.8
600.0, 1400.0, 1400.0, 31.634, 5.0, 192.168.0.34, 192.168.0.118, 42.0, 0.8
600.0, 1400.0, 600.0, 31.096, 16.3, 192.168.0.34, 192.168.0.118, 42.3, 0.8
600.0, 1400.0, 700.0, 31.096, 6.0, 192.168.0.34, 192.168.0.118, 42.2, 0.8
600.0, 1400.0, 1400.0, 32.172, 16.5, 192.168.0.34, 192.168.0.118, 45.3, 0.8
600.0, 1400.0, 1400.0, 32.172, 15.0, 192.168.0.34, 192.168.0.118, 45.5, 0.8
600.0, 1400.0, 1400.0, 34.324, 65.6, 192.168.0.34, 192.168.0.118, 49.1, 2.0
600.0, 1400.0, 1400.0, 35.938, 91.0, 192.168.0.34, 192.168.0.118, 51.9, 2.3
600.0, 1400.0, 1400.0, 35.4, 89.3, 192.168.0.34, 192.168.0.118, 48.6, 2.3
600.0, 1400.0, 1400.0, 34.862, 68.0, 192.168.0.34, 192.168.0.118, 47.2, 2.3
600.0, 1400.0, 1400.0, 36.476, 77.5, 192.168.0.34, 192.168.0.118, 47.9, 2.3
600.0, 1400.0, 1400.0, 35.4, 76.7, 192.168.0.34, 192.168.0.118, 49.3, 2.3
600.0, 1400.0, 1400.0, 35.4, 68.0, 192.168.0.34, 192.168.0.118, 49.4, 2.3
600.0, 1400.0, 1400.0, 35.4, 70.1, 192.168.0.34, 192.168.0.118, 49.6, 2.3
600.0, 1400.0, 1400.0, 36.476, 68.4, 192.168.0.34, 192.168.0.118, 49.6, 2.3
600.0, 1400.0, 1400.0, 35.938, 68.8, 192.168.0.34, 192.168.0.118, 49.5, 2.3
600.0, 1400.0, 1400.0, 36.476, 68.7, 192.168.0.34, 192.168.0.118, 49.6, 2.3
600.0, 1400.0, 1400.0, 36.476, 68.8, 192.168.0.34, 192.168.0.118, 49.7, 2.3
600.0, 1400.0, 1400.0, 36.476, 68.0, 192.168.0.34, 192.168.0.118, 49.6, 2.3
600.0, 1400.0, 1400.0, 36.476, 67.2, 192.168.0.34, 192.168.0.118, 49.8, 2.3
600.0, 1400.0, 1400.0, 36.476, 82.8, 192.168.0.34, 192.168.0.118, 51.9, 2.3
600.0, 1400.0, 600.0, 34.324, 14.0, 192.168.0.34, 192.168.0.118, 48.9, 2.3
600.0, 1400.0, 1400.0, 34.862, 8.1, 192.168.0.34, 192.168.0.118, 48.8, 2.3
