cpu_fclk_min, cpu_fclk_max, cpu_fclk_cur, cpu_temp, cpu_load, ip_wired, ip_wifi, memory_usage, swap_usage
600.0, 1400.0, 1000.0, 29.482, 19.5, fe80::5da0:4da9:f958:2a44%eth0, b8:27:eb:cb:e6:f6, 13.5, 0.0
600.0, 1400.0, 1400.0, 28.944, 20.6, 2003:ee:a71e:2200:beb9:55b3:a35b:8014, b8:27:eb:cb:e6:f6, 13.6, 0.0
600.0, 1400.0, 1400.0, 31.634, 67.4, 192.168.0.34, 192.168.0.118, 29.4, 0.0
600.0, 1400.0, 1400.0, 32.71, 68.9, 192.168.0.34, 192.168.0.118, 47.4, 0.3
600.0, 1400.0, 1400.0, 31.096, 35.3, 192.168.0.34, 192.168.0.118, 42.8, 1.0
600.0, 1400.0, 800.0, 31.096, 5.8, 192.168.0.34, 192.168.0.118, 42.7, 1.0
600.0, 1400.0, 1400.0, 31.634, 17.4, 192.168.0.34, 192.168.0.118, 43.1, 1.0
600.0, 1400.0, 600.0, 31.634, 6.2, 192.168.0.34, 192.168.0.118, 43.0, 1.0
600.0, 1400.0, 700.0, 32.172, 31.5, 192.168.0.34, 192.168.0.118, 48.7, 2.0
600.0, 1400.0, 1400.0, 34.324, 41.9, 192.168.0.34, 192.168.0.118, 49.3, 2.3
600.0, 1400.0, 1400.0, 34.862, 79.5, 192.168.0.34, 192.168.0.118, 46.9, 2.5
600.0, 1400.0, 1400.0, 34.324, 63.2, 192.168.0.34, 192.168.0.118, 47.1, 2.5
600.0, 1400.0, 1400.0, 34.862, 63.3, 192.168.0.34, 192.168.0.118, 47.1, 2.5
600.0, 1400.0, 1400.0, 35.4, 69.9, 192.168.0.34, 192.168.0.118, 48.7, 2.5
600.0, 1400.0, 1400.0, 35.4, 62.5, 192.168.0.34, 192.168.0.118, 48.6, 2.5
600.0, 1400.0, 650.0, 34.324, 52.3, 192.168.0.34, 192.168.0.118, 48.9, 2.5
600.0, 1400.0, 1400.0, 34.324, 23.3, 192.168.0.34, 192.168.0.118, 48.6, 2.5
600.0, 1400.0, 1400.0, 35.4, 63.1, 192.168.0.34, 192.168.0.118, 48.5, 2.5
600.0, 1400.0, 1400.0, 36.476, 62.9, 192.168.0.34, 192.168.0.118, 48.5, 2.5
600.0, 1400.0, 1400.0, 37.014, 66.9, 192.168.0.34, 192.168.0.118, 48.7, 2.5
600.0, 1400.0, 1400.0, 36.476, 67.0, 192.168.0.34, 192.168.0.118, 48.6, 2.5
