cpu_fclk_min, cpu_fclk_max, cpu_fclk_cur, cpu_temp, cpu_load, ip_wired, ip_wifi, memory_usage, swap_usage
600.0, 1400.0, 1400.0, 31.634, 19.0, fe80::5da0:4da9:f958:2a44%eth0, b8:27:eb:cb:e6:f6, 13.5, 0.0
600.0, 1400.0, 1400.0, 31.096, 17.9, 2003:ee:a71e:2200:beb9:55b3:a35b:8014, b8:27:eb:cb:e6:f6, 13.5, 0.0
600.0, 1400.0, 1400.0, 33.248, 66.5, 192.168.0.34, 192.168.0.118, 28.2, 0.0
600.0, 1400.0, 1400.0, 34.862, 68.5, 192.168.0.34, 192.168.0.118, 48.6, 0.8
600.0, 1400.0, 1400.0, 34.324, 34.2, 192.168.0.34, 192.168.0.118, 46.4, 1.3
600.0, 1400.0, 600.0, 33.248, 13.4, 192.168.0.34, 192.168.0.118, 42.4, 1.3
600.0, 1400.0, 1400.0, 33.248, 17.8, 192.168.0.34, 192.168.0.118, 42.5, 1.3
600.0, 1400.0, 700.0, 34.324, 34.7, 192.168.0.34, 192.168.0.118, 47.5, 2.8
600.0, 1400.0, 1400.0, 36.476, 53.7, 192.168.0.34, 192.168.0.118, 49.0, 2.8
600.0, 1400.0, 1400.0, 36.476, 68.7, 192.168.0.34, 192.168.0.118, 47.2, 2.8
600.0, 1400.0, 1400.0, 36.476, 68.2, 192.168.0.34, 192.168.0.118, 47.4, 2.8
600.0, 1400.0, 1400.0, 36.476, 65.9, 192.168.0.34, 192.168.0.118, 47.3, 2.8
600.0, 1400.0, 1400.0, 37.552, 63.7, 192.168.0.34, 192.168.0.118, 47.5, 2.8
600.0, 1400.0, 1400.0, 37.014, 66.9, 192.168.0.34, 192.168.0.118, 47.8, 2.8
600.0, 1400.0, 1400.0, 37.552, 65.9, 192.168.0.34, 192.168.0.118, 47.8, 2.8
600.0, 1400.0, 1400.0, 37.552, 66.6, 192.168.0.34, 192.168.0.118, 47.9, 2.8
600.0, 1400.0, 1400.0, 37.552, 74.7, 192.168.0.34, 192.168.0.118, 47.8, 2.8
600.0, 1400.0, 1400.0, 37.552, 65.3, 192.168.0.34, 192.168.0.118, 47.4, 2.8
600.0, 1400.0, 1400.0, 37.552, 65.0, 192.168.0.34, 192.168.0.118, 47.6, 2.8
600.0, 1400.0, 1400.0, 38.09, 62.2, 192.168.0.34, 192.168.0.118, 47.4, 2.8
600.0, 1400.0, 1400.0, 38.628, 66.2, 192.168.0.34, 192.168.0.118, 48.3, 2.8
600.0, 1400.0, 1400.0, 38.628, 66.1, 192.168.0.34, 192.168.0.118, 47.5, 2.8
600.0, 1400.0, 1400.0, 38.628, 72.6, 192.168.0.34, 192.168.0.118, 49.2, 2.8
600.0, 1400.0, 1400.0, 38.628, 64.9, 192.168.0.34, 192.168.0.118, 48.0, 2.8
600.0, 1400.0, 1400.0, 38.628, 63.8, 192.168.0.34, 192.168.0.118, 48.3, 2.8
600.0, 1400.0, 1400.0, 37.552, 64.3, 192.168.0.34, 192.168.0.118, 47.9, 2.8
600.0, 1400.0, 1400.0, 38.628, 63.3, 192.168.0.34, 192.168.0.118, 48.1, 2.8
600.0, 1400.0, 1400.0, 39.166, 66.7, 192.168.0.34, 192.168.0.118, 47.9, 2.8
600.0, 1400.0, 1400.0, 38.628, 66.3, 192.168.0.34, 192.168.0.118, 48.0, 2.8
600.0, 1400.0, 1400.0, 38.628, 63.2, 192.168.0.34, 192.168.0.118, 47.9, 2.8
600.0, 1400.0, 1400.0, 38.628, 64.1, 192.168.0.34, 192.168.0.118, 48.0, 2.8
600.0, 1400.0, 1400.0, 38.628, 63.1, 192.168.0.34, 192.168.0.118, 48.0, 2.8
600.0, 1400.0, 1400.0, 39.166, 63.9, 192.168.0.34, 192.168.0.118, 48.0, 2.8
600.0, 1400.0, 1400.0, 39.166, 62.7, 192.168.0.34, 192.168.0.118, 48.2, 2.8
600.0, 1400.0, 1400.0, 38.628, 63.1, 192.168.0.34, 192.168.0.118, 47.9, 2.8
600.0, 1400.0, 1400.0, 39.166, 63.5, 192.168.0.34, 192.168.0.118, 47.7, 2.8
600.0, 1400.0, 1400.0, 39.166, 64.0, 192.168.0.34, 192.168.0.118, 47.9, 2.8
600.0, 1400.0, 1400.0, 39.166, 62.9, 192.168.0.34, 192.168.0.118, 47.9, 2.8
600.0, 1400.0, 1400.0, 39.166, 63.2, 192.168.0.34, 192.168.0.118, 48.1, 2.8
600.0, 1400.0, 1400.0, 39.166, 62.8, 192.168.0.34, 192.168.0.118, 48.1, 2.8
600.0, 1400.0, 1400.0, 39.166, 61.3, 192.168.0.34, 192.168.0.118, 48.0, 2.8
600.0, 1400.0, 1400.0, 38.628, 63.5, 192.168.0.34, 192.168.0.118, 48.3, 2.8
600.0, 1400.0, 1400.0, 38.628, 63.6, 192.168.0.34, 192.168.0.118, 47.9, 2.8
600.0, 1400.0, 1400.0, 39.704, 63.1, 192.168.0.34, 192.168.0.118, 47.9, 2.8
600.0, 1400.0, 1400.0, 39.166, 65.9, 192.168.0.34, 192.168.0.118, 48.0, 2.8
600.0, 1400.0, 1400.0, 39.166, 62.1, 192.168.0.34, 192.168.0.118, 48.0, 2.8
600.0, 1400.0, 1400.0, 39.166, 63.5, 192.168.0.34, 192.168.0.118, 47.8, 2.8
600.0, 1400.0, 1400.0, 38.628, 62.8, 192.168.0.34, 192.168.0.118, 48.0, 2.8
600.0, 1400.0, 1400.0, 39.166, 63.0, 192.168.0.34, 192.168.0.118, 48.1, 2.8
600.0, 1400.0, 1400.0, 38.628, 61.9, 192.168.0.34, 192.168.0.118, 48.0, 2.8
600.0, 1400.0, 1400.0, 39.166, 66.1, 192.168.0.34, 192.168.0.118, 47.9, 2.8
