cpu_fclk_min, cpu_fclk_max, cpu_fclk_cur, cpu_temp, cpu_load, ip_wired, ip_wifi, memory_usage, swap_usage
600.0, 1400.0, 1400.0, 36.476, 19.3, 192.168.0.34, 192.168.0.118, 30.4, 2.5
600.0, 1400.0, 1400.0, 36.476, 17.5, 192.168.0.34, 192.168.0.118, 30.5, 2.5
600.0, 1400.0, 600.0, 36.476, 3.1, 192.168.0.34, 192.168.0.118, 31.4, 2.5
cpu_fclk_min, cpu_fclk_max, cpu_fclk_cur, cpu_temp, cpu_load, ip_wired, ip_wifi, memory_usage, swap_usage
600.0, 1400.0, 1400.0, 36.476, 25.7, 192.168.0.34, 192.168.0.118, 31.4, 2.5
600.0, 1400.0, 1400.0, 36.476, 19.4, 192.168.0.34, 192.168.0.118, 31.4, 2.5
600.0, 1400.0, 700.0, 36.476, 6.1, 192.168.0.34, 192.168.0.118, 31.4, 2.5
cpu_fclk_min, cpu_fclk_max, cpu_fclk_cur, cpu_temp, cpu_load, ip_wired, ip_wifi, memory_usage, swap_usage
600.0, 1400.0, 1400.0, 37.552, 25.7, 192.168.0.34, 192.168.0.118, 31.7, 2.5
600.0, 1400.0, 1400.0, 37.552, 20.0, 192.168.0.34, 192.168.0.118, 31.7, 2.5
cpu_fclk_min, cpu_fclk_max, cpu_fclk_cur, cpu_temp, cpu_load, ip_wired, ip_wifi, memory_usage, swap_usage
600.0, 1400.0, 1400.0, 37.552, 27.4, 192.168.0.34, 192.168.0.118, 31.6, 2.5
600.0, 1400.0, 1400.0, 37.014, 20.0, 192.168.0.34, 192.168.0.118, 31.6, 2.5
cpu_fclk_min, cpu_fclk_max, cpu_fclk_cur, cpu_temp, cpu_load, ip_wired, ip_wifi, memory_usage, swap_usage
600.0, 1400.0, 1400.0, 37.552, 26.0, 192.168.0.34, 192.168.0.118, 31.7, 2.5
600.0, 1400.0, 1400.0, 37.552, 17.6, 192.168.0.34, 192.168.0.118, 31.7, 2.5
cpu_fclk_min, cpu_fclk_max, cpu_fclk_cur, cpu_temp, cpu_load, ip_wired, ip_wifi, memory_usage, swap_usage
600.0, 1400.0, 1400.0, 36.476, 29.3, 192.168.0.34, 192.168.0.118, 31.6, 2.5
600.0, 1400.0, 1400.0, 37.014, 22.2, 192.168.0.34, 192.168.0.118, 31.6, 2.5
600.0, 1400.0, 1400.0, 35.938, 0.9, 192.168.0.34, 192.168.0.118, 31.6, 2.5
cpu_fclk_min, cpu_fclk_max, cpu_fclk_cur, cpu_temp, cpu_load, ip_wired, ip_wifi, memory_usage, swap_usage
600.0, 1400.0, 1400.0, 36.476, 26.0, 192.168.0.34, 192.168.0.118, 31.6, 2.5
600.0, 1400.0, 1400.0, 36.476, 17.6, 192.168.0.34, 192.168.0.118, 31.6, 2.5
600.0, 1400.0, 600.0, 35.4, 0.4, 192.168.0.34, 192.168.0.118, 31.5, 2.5
600.0, 1400.0, 600.0, 35.4, 1.8, 192.168.0.34, 192.168.0.118, 31.6, 2.5
600.0, 1400.0, 600.0, 35.4, 3.1, 192.168.0.34, 192.168.0.118, 31.7, 2.5
600.0, 1400.0, 600.0, 35.4, 2.1, 192.168.0.34, 192.168.0.118, 31.6, 2.5
