cpu_fclk_min, cpu_fclk_max, cpu_fclk_cur, cpu_temp, cpu_load, ip_wired, ip_wifi, memory_usage, swap_usage
600.0, 1400.0, 900.0, 37.014, 17.3, fe80::5da0:4da9:f958:2a44%eth0, b8:27:eb:cb:e6:f6, 13.5, 0.0
600.0, 1400.0, 1400.0, 36.476, 17.6, 2003:ee:a71e:2200:beb9:55b3:a35b:8014, b8:27:eb:cb:e6:f6, 13.6, 0.0
600.0, 1400.0, 800.0, 37.014, 52.8, 192.168.0.34, 169.254.125.248, 28.4, 0.0
600.0, 1400.0, 1400.0, 38.09, 65.5, 192.168.0.34, 169.254.125.248, 45.1, 0.0
600.0, 1400.0, 600.0, 35.4, 5.4, 192.168.0.34, 169.254.125.248, 41.4, 0.0
600.0, 1400.0, 1400.0, 37.552, 6.5, 192.168.0.34, 169.254.125.248, 42.0, 0.0
600.0, 1400.0, 600.0, 34.862, 2.5, 192.168.0.34, 169.254.125.248, 42.0, 0.0
600.0, 1400.0, 600.0, 35.4, 0.9, 192.168.0.34, 169.254.125.248, 42.0, 0.0
600.0, 1400.0, 600.0, 34.862, 0.9, 192.168.0.34, 169.254.125.248, 42.0, 0.0
600.0, 1400.0, 600.0, 34.862, 0.8, 192.168.0.34, 169.254.125.248, 42.0, 0.0
600.0, 1400.0, 600.0, 35.4, 0.7, 192.168.0.34, 169.254.125.248, 42.0, 0.0
600.0, 1400.0, 600.0, 34.862, 0.8, 192.168.0.34, 169.254.125.248, 42.0, 0.0
600.0, 1400.0, 600.0, 35.4, 0.9, 192.168.0.34, 169.254.125.248, 42.0, 0.0
600.0, 1400.0, 600.0, 35.4, 0.8, 192.168.0.34, 169.254.125.248, 42.0, 0.0
600.0, 1400.0, 600.0, 35.4, 0.8, 192.168.0.34, 169.254.125.248, 42.0, 0.0
600.0, 1400.0, 700.0, 35.4, 6.8, 192.168.0.34, 169.254.125.248, 42.8, 0.0
600.0, 1400.0, 1400.0, 35.938, 11.0, 192.168.0.34, 169.254.125.248, 43.3, 0.8
600.0, 1400.0, 700.0, 35.4, 3.8, 192.168.0.34, 169.254.125.248, 43.0, 0.8
600.0, 1400.0, 1400.0, 36.476, 20.0, 192.168.0.34, 169.254.125.248, 48.3, 2.0
600.0, 1400.0, 600.0, 35.4, 9.6, 192.168.0.34, 169.254.125.248, 45.5, 2.0
600.0, 1400.0, 1400.0, 38.628, 37.1, 192.168.0.34, 169.254.125.248, 49.6, 2.0
600.0, 1400.0, 1400.0, 38.628, 86.2, 192.168.0.34, 169.254.125.248, 49.9, 2.0
600.0, 1400.0, 1400.0, 40.78, 80.9, 192.168.0.34, 169.254.125.248, 50.0, 2.0
600.0, 1400.0, 1400.0, 39.704, 85.8, 192.168.0.34, 169.254.125.248, 50.3, 2.0
600.0, 1400.0, 1400.0, 41.318, 82.2, 192.168.0.34, 169.254.125.248, 50.5, 2.0
600.0, 1400.0, 1400.0, 39.704, 84.0, 192.168.0.34, 169.254.125.248, 50.6, 2.0
600.0, 1400.0, 1400.0, 39.704, 83.5, 192.168.0.34, 169.254.125.248, 50.7, 2.3
600.0, 1400.0, 1400.0, 40.242, 84.8, 192.168.0.34, 169.254.125.248, 50.8, 2.3
600.0, 1400.0, 1400.0, 40.78, 81.7, 192.168.0.34, 169.254.125.248, 50.6, 2.3
600.0, 1400.0, 1400.0, 40.78, 85.5, 192.168.0.34, 169.254.125.248, 50.7, 2.3
600.0, 1400.0, 1400.0, 40.78, 83.8, 192.168.0.34, 169.254.125.248, 50.7, 2.3
600.0, 1400.0, 1400.0, 39.704, 82.2, 192.168.0.34, 169.254.125.248, 50.7, 2.3
600.0, 1400.0, 1400.0, 39.704, 81.4, 192.168.0.34, 169.254.125.248, 50.9, 2.3
600.0, 1400.0, 1400.0, 40.78, 81.4, 192.168.0.34, 169.254.125.248, 50.8, 2.3
600.0, 1400.0, 1400.0, 41.318, 80.6, 192.168.0.34, 169.254.125.248, 50.7, 2.3
600.0, 1400.0, 1400.0, 41.318, 81.2, 192.168.0.34, 169.254.125.248, 50.0, 2.3
600.0, 1400.0, 1400.0, 42.394, 82.9, 192.168.0.34, 169.254.125.248, 49.8, 2.3
600.0, 1400.0, 1400.0, 40.78, 81.4, 192.168.0.34, 169.254.125.248, 49.9, 2.3
600.0, 1400.0, 1400.0, 40.78, 85.8, 192.168.0.34, 169.254.125.248, 50.0, 2.3
600.0, 1400.0, 1400.0, 42.394, 83.0, 192.168.0.34, 169.254.125.248, 49.9, 2.3
600.0, 1400.0, 1400.0, 40.78, 86.8, 192.168.0.34, 169.254.125.248, 50.2, 2.3
600.0, 1400.0, 1400.0, 41.856, 85.1, 192.168.0.34, 169.254.125.248, 50.2, 2.3
600.0, 1400.0, 1400.0, 41.318, 85.5, 192.168.0.34, 169.254.125.248, 50.1, 2.3
600.0, 1400.0, 1400.0, 41.856, 84.3, 192.168.0.34, 169.254.125.248, 49.9, 2.3
600.0, 1400.0, 1400.0, 40.78, 82.9, 192.168.0.34, 169.254.125.248, 49.9, 2.3
600.0, 1400.0, 1400.0, 41.856, 82.9, 192.168.0.34, 169.254.125.248, 50.0, 2.3
600.0, 1400.0, 1400.0, 41.318, 82.4, 192.168.0.34, 169.254.125.248, 49.9, 2.3
600.0, 1400.0, 1400.0, 41.856, 81.6, 192.168.0.34, 169.254.125.248, 50.1, 2.3
600.0, 1400.0, 1400.0, 40.78, 79.1, 192.168.0.34, 169.254.125.248, 50.2, 2.3
600.0, 1400.0, 1400.0, 41.856, 82.7, 192.168.0.34, 169.254.125.248, 50.0, 2.3
600.0, 1400.0, 1400.0, 41.318, 78.8, 192.168.0.34, 169.254.125.248, 50.3, 2.3
600.0, 1400.0, 1400.0, 40.78, 76.4, 192.168.0.34, 169.254.125.248, 50.0, 2.3
600.0, 1400.0, 800.0, 40.242, 72.0, 192.168.0.34, 169.254.125.248, 50.3, 2.3
600.0, 1400.0, 1400.0, 41.856, 49.3, 192.168.0.34, 169.254.125.248, 50.1, 2.3
600.0, 1400.0, 1400.0, 40.78, 84.3, 192.168.0.34, 169.254.125.248, 50.3, 2.3
600.0, 1400.0, 1400.0, 40.78, 86.2, 192.168.0.34, 169.254.125.248, 50.0, 2.3
